,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
332,2010,OH,Midwest,3,5,8,3.0794415416798357,Ohio
333,2010,OK,South,2,1,3,2.09861228866811,Oklahoma
334,2010,TX,South,7,10,17,3.833213344056216,Texas
335,2010,UT,West,1,0,1,1.0,Utah
336,2010,VA,South,2,1,3,2.09861228866811,Virginia
337,2010,WA,West,1,0,1,1.0,Washington
338,2011,AL,South,3,3,6,2.791759469228055,Alabama
339,2011,AZ,West,3,1,4,2.386294361119891,Arizona
340,2011,DE,South,1,0,1,1.0,Delaware
341,2011,FL,South,1,1,2,1.6931471805599454,Florida
342,2011,GA,South,2,2,4,2.386294361119891,Georgia
343,2011,ID,West,1,0,1,1.0,Idaho
344,2011,MO,Midwest,1,0,1,1.0,Missouri
345,2011,MS,South,1,1,2,1.6931471805599454,Mississippi
346,2011,OH,Midwest,2,3,5,2.6094379124341005,Ohio
347,2011,OK,South,1,1,2,1.6931471805599454,Oklahoma
348,2011,SC,South,1,0,1,1.0,South Carolina
349,2011,TX,South,6,7,13,3.5649493574615367,Texas
350,2011,VA,South,0,1,1,1.0,Virginia
351,2012,AZ,West,5,1,6,2.791759469228055,Arizona
352,2012,DE,South,0,1,1,1.0,Delaware
353,2012,FL,South,2,1,3,2.09861228866811,Florida
354,2012,ID,West,1,0,1,1.0,Idaho
355,2012,MS,South,4,2,6,2.791759469228055,Mississippi
356,2012,OH,Midwest,3,0,3,2.09861228866811,Ohio
357,2012,OK,South,4,2,6,2.791759469228055,Oklahoma
358,2012,SD,Midwest,2,0,2,1.6931471805599454,South Dakota
359,2012,TX,South,4,11,15,3.70805020110221,Texas
360,2013,AL,South,1,0,1,1.0,Alabama
361,2013,AZ,West,2,0,2,1.6931471805599454,Arizona
362,2013,FL,South,5,2,7,2.9459101490553135,Florida
363,2013,GA,South,1,0,1,1.0,Georgia
364,2013,MO,Midwest,2,0,2,1.6931471805599454,Missouri
365,2013,OH,Midwest,3,0,3,2.09861228866811,Ohio
366,2013,OK,South,3,3,6,2.791759469228055,Oklahoma
367,2013,TX,South,5,11,16,3.772588722239781,Texas
368,2013,VA,South,1,0,1,1.0,Virginia
369,2014,AZ,West,1,0,1,1.0,Arizona
370,2014,FL,South,2,6,8,3.0794415416798357,Florida
371,2014,GA,South,0,2,2,1.6931471805599454,Georgia
372,2014,MO,Midwest,5,5,10,3.302585092994046,Missouri
373,2014,OH,Midwest,1,0,1,1.0,Ohio
374,2014,OK,South,1,2,3,2.09861228866811,Oklahoma
375,2014,TX,South,2,8,10,3.302585092994046,Texas
376,2015,FL,South,2,0,2,1.6931471805599454,Florida
377,2015,GA,South,3,2,5,2.6094379124341005,Georgia
378,2015,MO,Midwest,3,3,6,2.791759469228055,Missouri
379,2015,OK,South,0,1,1,1.0,Oklahoma
380,2015,TX,South,3,10,13,3.5649493574615367,Texas
381,2015,VA,South,0,1,1,1.0,Virginia
382,2016,AL,South,2,0,2,1.6931471805599454,Alabama
383,2016,FL,South,1,0,1,1.0,Florida
384,2016,GA,South,7,2,9,3.1972245773362196,Georgia
385,2016,MO,Midwest,1,0,1,1.0,Missouri
386,2016,TX,South,5,2,7,2.9459101490553135,Texas
387,2017,AL,South,1,2,3,2.09861228866811,Alabama
388,2017,AR,South,1,3,4,2.386294361119891,Arkansas
389,2017,FL,South,3,0,3,2.09861228866811,Florida
390,2017,GA,South,1,0,1,1.0,Georgia
391,2017,MO,Midwest,1,0,1,1.0,Missouri
392,2017,OH,Midwest,2,0,2,1.6931471805599454,Ohio
393,2017,TX,South,3,4,7,2.9459101490553135,Texas
394,2017,VA,South,1,1,2,1.6931471805599454,Virginia
